,count,count,count,count,count,mean,mean,mean,mean,mean,sem,sem,sem,sem,sem
aggregated taxon,Acari,Collembola,Formicidae,Isoptera,Other,Acari,Collembola,Formicidae,Isoptera,Other,Acari,Collembola,Formicidae,Isoptera,Other
aggregated biome,,,,,,,,,,,,,,,
Boreal Forests/Taiga,37.0,34.0,,,7.0,346.36621943594594,148.80181205882351,,,208.48563854371426,43.632492254412156,17.489816568137556,,,52.14702102907578
Deserts and Xeric Shrublands,12.0,12.0,4.0,,,2.2858640245,0.6219201523333333,72.25,,,0.8449034107358271,0.6219201523333333,37.11552909497586,,
Shrubland/Grassland,,,14.0,,,,,110.78571428571429,,,,,40.80106906747256,,
Temperate Forests,46.0,54.0,21.0,,30.0,746.9572198086955,4911.311985821296,80.57142857142857,,979.9939440693332,158.07380254587645,2470.379091774567,25.97219863701986,,198.65264286345376
"Temperate Grasslands, Savannas and Shrublands",22.0,24.0,10.0,3.0,12.0,206.13294651500001,124.2777110483333,275.825784412,7.2133919,1140.4769412418334,62.31609472385717,29.304746957801477,163.83298093613598,5.335676533462616,872.9926949289921
Tropical and Subtropical Forests,16.0,13.0,15.0,7.0,7.0,380.65066131250006,37.36206345307692,32.6628009794,591.5879425838572,53.51480191571428,113.50563663575257,13.049532524446052,5.782301216932284,448.2312817079199,20.68352190556736
"Tropical and Subtropical Grasslands, Savannas and Shrublands",2.0,2.0,2.0,5.0,3.0,74.1228484,12.35014559,450.07045700000003,2046.45765398,30.790422676000002,47.496076499999994,0.9780450599999994,1.1479934999999983,1490.4712343867227,13.698313124645326
Tundra,47.0,34.0,1.0,1.0,14.0,199.4101248035532,394.804593214,0.0,0.0,68.4831708917143,38.83885408138981,150.40294156417988,,,35.65014954190431
