,ID,site,coordinates,depth,country,biome,standard biome,aggregated biome,altitude,mean annual temperature,mean annual percipitation (mm yr^-1),"environment (soil,litter, trees)",aggregated environment,taxon,family,super-family,order,sub-class,class,sub-phylum,phylum,numerical value,standard deviation,units,reference,link (doi),source in text,season,date,remarks,studied group
0,1,Cat Tien National Park - Lagerstroemia forest,"11°25'43.0'' N, 107°25'38.7'' E",0,Vietnam,semideciduous monsoon forests,Tropical and Subtropical Dry Broadleaf Forests,Tropical and Subtropical Forests,149,26,2400,soil+litter,soil/litter,Collembola,0,0,0,Collembola,Entognatha,Hexapoda,Arthropoda,10594.0,1216.0,individuals/m^2,Anichkin et al. 2007,https://doi.org/10.1134/S1062359007050135,Table 1,0,0,0,
1,2,Cat Tien National Park - Riparian dipterocarp forest,"11°26'48.2'' N, 107°26'26.2'' E",0,Vietnam,semideciduous monsoon forests,Tropical and Subtropical Dry Broadleaf Forests,Tropical and Subtropical Forests,137,26,2400,soil+litter,soil/litter,Collembola,0,0,0,Collembola,Entognatha,Hexapoda,Arthropoda,11760.0,1574.0,individuals/m^2,Anichkin et al. 2007,https://doi.org/10.1134/S1062359007050135,Table 1,0,0,0,
2,3,Bi Dup-Nui Ba Nature Reserve - Mountain pine forest,"12°02'41.3'' N, 108°21'48.7'' E",0,Vietnam,mountain coniferous forest,Tropical and Subtropical Coniferous Forests,Tropical and Subtropical Forests,1400,26,1800,soil+litter,soil/litter,Collembola,0,0,0,Collembola,Entognatha,Hexapoda,Arthropoda,7547.0,1040.0,individuals/m^2,Anichkin et al. 2007,https://doi.org/10.1134/S1062359007050135,Table 1,0,0,0,
3,4,Cat Tien National Park - Lagerstroemia forest,"11°25'43.0'' N, 107°25'38.7'' E",0,Vietnam,semideciduous monsoon forests,Tropical and Subtropical Dry Broadleaf Forests,Tropical and Subtropical Forests,149,26,2400,soil+litter,soil/litter,Isopoda,0,0,Isopoda,Eumalacostraca,Malacostraca,Crustacea,Arthropoda,21.0,7.0,individuals/m^2,Anichkin et al. 2007,https://doi.org/10.1134/S1062359007050135,Table 2,0,0,0,
4,6,Cat Tien National Park - Lagerstroemia forest,"11°25'43.0'' N, 107°25'38.7'' E",0,Vietnam,semideciduous monsoon forests,Tropical and Subtropical Dry Broadleaf Forests,Tropical and Subtropical Forests,149,26,2400,soil+litter,soil/litter,Myriapoda,0,0,0,0,0,Myriapoda,Arthropoda,122.0,19.0,individuals/m^2,Anichkin et al. 2007,https://doi.org/10.1134/S1062359007050135,Table 2,0,0,0,
5,7,Cat Tien National Park - Lagerstroemia forest,"11°25'43.0'' N, 107°25'38.7'' E",0,Vietnam,semideciduous monsoon forests,Tropical and Subtropical Dry Broadleaf Forests,Tropical and Subtropical Forests,149,26,2400,soil+litter,soil/litter,Insecta,0,0,0,0,Insecta,Hexapoda,Arthropoda,197.0,20.0,individuals/m^2,Anichkin et al. 2007,https://doi.org/10.1134/S1062359007050135,Table 2,0,0,0,
6,8,Cat Tien National Park - Riparian dipterocarp forest,"11°26'48.2'' N, 107°26'26.2'' E",0,Vietnam,semideciduous monsoon forests,Tropical and Subtropical Dry Broadleaf Forests,Tropical and Subtropical Forests,137,26,2400,soil+litter,soil/litter,Isopoda,0,0,Isopoda,Eumalacostraca,Malacostraca,Crustacea,Arthropoda,68.0,14.0,individuals/m^2,Anichkin et al. 2007,https://doi.org/10.1134/S1062359007050135,Table 2,0,0,0,
7,10,Cat Tien National Park - Riparian dipterocarp forest,"11°26'48.2'' N, 107°26'26.2'' E",0,Vietnam,semideciduous monsoon forests,Tropical and Subtropical Dry Broadleaf Forests,Tropical and Subtropical Forests,137,26,2400,soil+litter,soil/litter,Myriapoda,0,0,0,0,0,Myriapoda,Arthropoda,86.0,12.0,individuals/m^2,Anichkin et al. 2007,https://doi.org/10.1134/S1062359007050135,Table 2,0,0,0,
8,11,Cat Tien National Park - Riparian dipterocarp forest,"11°26'48.2'' N, 107°26'26.2'' E",0,Vietnam,semideciduous monsoon forests,Tropical and Subtropical Dry Broadleaf Forests,Tropical and Subtropical Forests,137,26,2400,soil+litter,soil/litter,Insecta,0,0,0,0,Insecta,Hexapoda,Arthropoda,199.0,21.0,individuals/m^2,Anichkin et al. 2007,https://doi.org/10.1134/S1062359007050135,Table 2,0,0,0,
9,12,Bi Dup-Nui Ba Nature Reserve - Mountain pine forest,"12°02'41.3'' N, 108°21'48.7'' E",0,Vietnam,mountain coniferous forest,Tropical and Subtropical Coniferous Forests,Tropical and Subtropical Forests,1400,20,1800,soil+litter,soil/litter,Isopoda,0,0,Isopoda,Eumalacostraca,Malacostraca,Crustacea,Arthropoda,14.0,7.0,individuals/m^2,Anichkin et al. 2007,https://doi.org/10.1134/S1062359007050135,Table 2,0,0,0,
