,ID,site,coordinates,depth,country,biome,standard biome,aggregated biome,altitude,mean annual temperature,mean annual percipitation (mm yr^-1),"environment (soil,litter, trees)",aggregated environment,taxon,family,super-family,order,sub-class,class,sub-phylum,phylum,numerical value,standard deviation,units,reference,link (doi),source in text,season,date,remarks,studied group,synthetic coordinates
27,32,"Mediterranean Forests, Woodlands and Scrub",0,0,0,"Mediterranean Forests, Woodlands and Scrub","Mediterranean Forests, Woodlands and Scrub","Mediterranean Forests, Woodlands and Scrub",0,0,0,soil,soil/litter,Isoptera,0,Isoptera,Blattodea,Pterygota,Insecta,Hexapoda,Arthropoda,5300.0,0.0,mg/m^2 (wet weight),sanderson (1996),https://doi.org/10.1029/96GB01893,table 3,0,0,0,Isoptera,
28,33,eucalyptus / acaia,0,0,0,semi-arid woodland,"Mediterranean Forests, Woodlands and Scrub","Mediterranean Forests, Woodlands and Scrub",0,0,0,soil,soil/litter,Isoptera,0,Isoptera,Blattodea,Pterygota,Insecta,Hexapoda,Arthropoda,5300.0,0.0,mg/m^2 (wet weight),sanderson (1996),https://doi.org/10.1029/96GB01893,table 3,0,0,0,Isoptera,
36,41,Danish oak forest,0,0,denmark,temperate deciduous forest,Temperate Broadleaf and Mixed Forests,Temperate Forests,0,7.222222,660,litter,soil/litter,Diplopoda,0,0,0,0,Diplopoda,Myriapoda,Arthropoda,433.0,0.0,individuals/m^2,"Gist & Crossley, 1975",http://www.jstor.org/stable/2424109,table 3,0,0,0,,
38,43,Danish beech forest,0,0,denmark,temperate deciduous forest,Temperate Broadleaf and Mixed Forests,Temperate Forests,0,7.222222,660,litter,soil/litter,Diplopoda,0,0,0,0,Diplopoda,Myriapoda,Arthropoda,33.0,0.0,individuals/m^2,"Gist & Crossley, 1975",http://www.jstor.org/stable/2424109,table 3,0,0,0,,
40,45,Danish spruce forest,0,0,denmark,temperate deciduous forest,Temperate Broadleaf and Mixed Forests,Temperate Forests,0,7.222222,660,litter,soil/litter,Diplopoda,0,0,0,0,Diplopoda,Myriapoda,Arthropoda,51.0,0.0,individuals/m^2,"Gist & Crossley, 1975",http://www.jstor.org/stable/2424109,table 3,0,0,0,,
42,47,Japanese beech forest,0,0,japan,temperate deciduous forest,Temperate Broadleaf and Mixed Forests,Temperate Forests,0,0,0,litter,soil/litter,Diplopoda,0,0,0,0,Diplopoda,Myriapoda,Arthropoda,11.0,0.0,individuals/m^2,"Gist & Crossley, 1975",http://www.jstor.org/stable/2424109,table 3,0,0,0,,
158,165,temperate forest,0,0,0,temperate forest,Temperate Broadleaf and Mixed Forests,Temperate Forests,0,0,0,soil,soil/litter,Isoptera,0,Isoptera,Blattodea,Pterygota,Insecta,Hexapoda,Arthropoda,3000.0,0.0,mg/m^2 (wet weight),sanderson (1996),https://doi.org/10.1029/96GB01893,table 3,0,0,0,Isoptera,
414,425,Temperate Forests 1,0,0,0,Temperate Forests,Temperate Forests,Temperate Forests,0,0,0,soil+litter,soil/litter,Formicidae,Formicidae,0,Hymenoptera,Pterygota,Insecta,Hexapoda,Arthropoda,562.0,0.0,mg/m^2 (dry weight),Kaspari and Weiser (2012),https://doi.org/10.1111/j.1600-0587.2011.06971.x,figure 3,0,0,"Tropical and Subtropical Grasslands, Savannas and Shrublands",Formicidae,
1610,1621,Temperate Forests 2,0,0,0,Temperate Forests,Temperate Forests,Temperate Forests,0,0,0,soil+litter,soil/litter,Formicidae,Formicidae,0,Hymenoptera,Pterygota,Insecta,Hexapoda,Arthropoda,24.0,0.0,mg/m^2 (dry weight),Kaspari and Weiser (2012),https://doi.org/10.1111/j.1600-0587.2011.06971.x,figure 3,0,0,"Mediterranean Forests, Woodlands and Scrub",Formicidae,
1612,1623,Temperate Forests 3,0,0,0,Temperate Forests,Temperate Forests,Temperate Forests,0,0,0,soil+litter,soil/litter,Formicidae,Formicidae,0,Hymenoptera,Pterygota,Insecta,Hexapoda,Arthropoda,14.0,0.0,mg/m^2 (dry weight),Kaspari and Weiser (2012),https://doi.org/10.1111/j.1600-0587.2011.06971.x,figure 3,0,0,Temperate Conifer Forests,Formicidae,
1613,1624,Temperate Forests 4,0,0,0,Temperate Forests,Temperate Forests,Temperate Forests,0,0,0,soil+litter,soil/litter,Formicidae,Formicidae,0,Hymenoptera,Pterygota,Insecta,Hexapoda,Arthropoda,17.0,0.0,mg/m^2 (dry weight),Kaspari and Weiser (2012),https://doi.org/10.1111/j.1600-0587.2011.06971.x,figure 3,0,0,Temperate Conifer Forests,Formicidae,
1614,1625,Temperate Forests 5,0,0,0,Temperate Forests,Temperate Forests,Temperate Forests,0,0,0,soil+litter,soil/litter,Formicidae,Formicidae,0,Hymenoptera,Pterygota,Insecta,Hexapoda,Arthropoda,36.0,0.0,mg/m^2 (dry weight),Kaspari and Weiser (2012),https://doi.org/10.1111/j.1600-0587.2011.06971.x,figure 3,0,0,Temperate Conifer Forests,Formicidae,
1616,1627,Temperate Forests 6,0,0,0,Temperate Forests,Temperate Forests,Temperate Forests,0,0,0,soil+litter,soil/litter,Formicidae,Formicidae,0,Hymenoptera,Pterygota,Insecta,Hexapoda,Arthropoda,135.0,0.0,mg/m^2 (dry weight),Kaspari and Weiser (2012),https://doi.org/10.1111/j.1600-0587.2011.06971.x,figure 3,0,0,Temperate Conifer Forests,Formicidae,
1617,1628,Temperate Forests 7,0,0,0,Temperate Forests,Temperate Forests,Temperate Forests,0,0,0,soil+litter,soil/litter,Formicidae,Formicidae,0,Hymenoptera,Pterygota,Insecta,Hexapoda,Arthropoda,175.0,0.0,mg/m^2 (dry weight),Kaspari and Weiser (2012),https://doi.org/10.1111/j.1600-0587.2011.06971.x,figure 3,0,0,Temperate Conifer Forests,Formicidae,
1618,1629,Temperate Forests 8,0,0,0,Temperate Forests,Temperate Forests,Temperate Forests,0,0,0,soil+litter,soil/litter,Formicidae,Formicidae,0,Hymenoptera,Pterygota,Insecta,Hexapoda,Arthropoda,6.0,0.0,mg/m^2 (dry weight),Kaspari and Weiser (2012),https://doi.org/10.1111/j.1600-0587.2011.06971.x,figure 3,0,0,Temperate Conifer Forests,Formicidae,
1619,1630,"savannah / grassland (old world, nonarid)",0,0,0,savannah / grassland,"Temperate Grasslands, Savannas and Shrublands","Temperate Grasslands, Savannas and Shrublands",0,0,0,soil,soil/litter,Isoptera,0,Isoptera,Blattodea,Pterygota,Insecta,Hexapoda,Arthropoda,10600.0,0.0,mg/m^2 (wet weight),sanderson (1996),https://doi.org/10.1029/96GB01893,table 3,0,0,0,Isoptera,
1620,1631,"savannah / grassland (new world, nonarid)",0,0,0,savannah / grassland,"Temperate Grasslands, Savannas and Shrublands","Temperate Grasslands, Savannas and Shrublands",0,0,0,soil,soil/litter,Isoptera,0,Isoptera,Blattodea,Pterygota,Insecta,Hexapoda,Arthropoda,10600.0,0.0,mg/m^2 (wet weight),sanderson (1996),https://doi.org/10.1029/96GB01893,table 3,0,0,0,Isoptera,
1621,1632,temperate grassland / prairie,0,0,0,temperate grassland / prairie,"Temperate Grasslands, Savannas and Shrublands","Temperate Grasslands, Savannas and Shrublands",0,0,0,soil,soil/litter,Isoptera,0,Isoptera,Blattodea,Pterygota,Insecta,Hexapoda,Arthropoda,5200.0,0.0,mg/m^2 (wet weight),sanderson (1996),https://doi.org/10.1029/96GB01893,table 3,0,0,0,Isoptera,
1622,1633,"succulent woods (old world, arid)",0,0,0,succulent woods,Deserts and Xeric Shrublands,Deserts and Xeric Shrublands,0,0,0,soil,soil/litter,Isoptera,0,Isoptera,Blattodea,Pterygota,Insecta,Hexapoda,Arthropoda,980.0,0.0,mg/m^2 (wet weight),sanderson (1996),https://doi.org/10.1029/96GB01893,table 3,0,0,0,Isoptera,
1623,1634,"succulent woods (new world, arid)",0,0,0,succulent woods,Deserts and Xeric Shrublands,Deserts and Xeric Shrublands,0,0,0,soil,soil/litter,Isoptera,0,Isoptera,Blattodea,Pterygota,Insecta,Hexapoda,Arthropoda,980.0,0.0,mg/m^2 (wet weight),sanderson (1996),https://doi.org/10.1029/96GB01893,table 3,0,0,0,Isoptera,
1624,1635,"succulent woods (old world, nonarid)",0,0,0,succulent woods,Deserts and Xeric Shrublands,Deserts and Xeric Shrublands,0,0,0,soil,soil/litter,Isoptera,0,Isoptera,Blattodea,Pterygota,Insecta,Hexapoda,Arthropoda,8430.0,0.0,mg/m^2 (wet weight),sanderson (1996),https://doi.org/10.1029/96GB01893,table 3,0,0,0,Isoptera,
1625,1636,"succulent woods (new world, nonarid)",0,0,0,succulent woods,Deserts and Xeric Shrublands,Deserts and Xeric Shrublands,0,0,0,soil,soil/litter,Isoptera,0,Isoptera,Blattodea,Pterygota,Insecta,Hexapoda,Arthropoda,8430.0,0.0,mg/m^2 (wet weight),sanderson (1996),https://doi.org/10.1029/96GB01893,table 3,0,0,0,Isoptera,
1626,1637,farmland / settlement (old world),0,0,0,Crops,Crops,Crops,0,0,0,soil,soil/litter,Isoptera,0,Isoptera,Blattodea,Pterygota,Insecta,Hexapoda,Arthropoda,5380.0,0.0,mg/m^2 (wet weight),sanderson (1996),https://doi.org/10.1029/96GB01893,table 3,0,0,0,Isoptera,
1627,1638,farmland / settlement (new world),0,0,0,Crops,Crops,Crops,0,0,0,soil,soil/litter,Isoptera,0,Isoptera,Blattodea,Pterygota,Insecta,Hexapoda,Arthropoda,5380.0,0.0,mg/m^2 (wet weight),sanderson (1996),https://doi.org/10.1029/96GB01893,table 3,0,0,0,Isoptera,
1628,1639,patchy woods + crops / grassland (old world),0,0,0,Crops,Crops,Crops,0,0,0,soil,soil/litter,Isoptera,0,Isoptera,Blattodea,Pterygota,Insecta,Hexapoda,Arthropoda,2250.0,0.0,mg/m^2 (wet weight),sanderson (1996),https://doi.org/10.1029/96GB01893,table 3,0,0,0,Isoptera,
1629,1640,patchy woods + crops / grassland (new world),0,0,0,Crops,Crops,Crops,0,0,0,soil,soil/litter,Isoptera,0,Isoptera,Blattodea,Pterygota,Insecta,Hexapoda,Arthropoda,2250.0,0.0,mg/m^2 (wet weight),sanderson (1996),https://doi.org/10.1029/96GB01893,table 3,0,0,0,Isoptera,
1630,1641,Temperate Forests 9,0,0,0,Temperate Forests,Temperate Forests,Temperate Forests,0,0,0,soil+litter,soil/litter,Formicidae,Formicidae,0,Hymenoptera,Pterygota,Insecta,Hexapoda,Arthropoda,26.0,0.0,mg/m^2 (dry weight),Kaspari and Weiser (2012),https://doi.org/10.1111/j.1600-0587.2011.06971.x,figure 3,0,0,Temperate Conifer Forests,Formicidae,
1631,1642,"dry / highland scrub, semidesert",0,0,0,semi-arid desert,Deserts and Xeric Shrublands,Deserts and Xeric Shrublands,0,0,0,soil,soil/litter,Isoptera,0,Isoptera,Blattodea,Pterygota,Insecta,Hexapoda,Arthropoda,2700.0,0.0,mg/m^2 (wet weight),sanderson (1996),https://doi.org/10.1029/96GB01893,table 3,0,0,0,Isoptera,
1664,1675,Temperate Forests 10,0,0,0,Temperate Forests,Temperate Forests,Temperate Forests,0,0,0,soil+litter,soil/litter,Formicidae,Formicidae,0,Hymenoptera,Pterygota,Insecta,Hexapoda,Arthropoda,21.0,0.0,mg/m^2 (dry weight),Kaspari and Weiser (2012),https://doi.org/10.1111/j.1600-0587.2011.06971.x,figure 3,0,0,Temperate Broadleaf and Mixed Forests,Formicidae,
1704,1717,Temperate Forests 11,0,0,0,Temperate Forests,Temperate Forests,Temperate Forests,0,0,0,soil+litter,soil/litter,Formicidae,Formicidae,0,Hymenoptera,Pterygota,Insecta,Hexapoda,Arthropoda,47.0,0.0,mg/m^2 (dry weight),Kaspari and Weiser (2012),https://doi.org/10.1111/j.1600-0587.2011.06971.x,figure 3,0,0,Temperate Broadleaf and Mixed Forests,Formicidae,
1712,1725,Shrubland/Grassland 1,0,0,0,Shrubland/Grassland,Shrubland/Grassland,Shrubland/Grassland,0,0,0,soil+litter,soil/litter,Formicidae,Formicidae,0,Hymenoptera,Pterygota,Insecta,Hexapoda,Arthropoda,26.0,0.0,mg/m^2 (dry weight),Kaspari and Weiser (2012),https://doi.org/10.1111/j.1600-0587.2011.06971.x,figure 3,0,0,Deserts and Xeric Shrublands,Formicidae,
1713,1726,Shrubland/Grassland 2,0,0,0,Shrubland/Grassland,Shrubland/Grassland,Shrubland/Grassland,0,0,0,soil+litter,soil/litter,Formicidae,Formicidae,0,Hymenoptera,Pterygota,Insecta,Hexapoda,Arthropoda,340.0,0.0,mg/m^2 (dry weight),Kaspari and Weiser (2012),https://doi.org/10.1111/j.1600-0587.2011.06971.x,figure 3,0,0,Temperate Conifer Forests,Formicidae,
1714,1727,Shrubland/Grassland 3,0,0,0,Shrubland/Grassland,Shrubland/Grassland,Shrubland/Grassland,0,0,0,soil+litter,soil/litter,Formicidae,Formicidae,0,Hymenoptera,Pterygota,Insecta,Hexapoda,Arthropoda,70.0,0.0,mg/m^2 (dry weight),Kaspari and Weiser (2012),https://doi.org/10.1111/j.1600-0587.2011.06971.x,figure 3,0,0,Deserts and Xeric Shrublands,Formicidae,
1715,1728,Shrubland/Grassland 4,0,0,0,Shrubland/Grassland,Shrubland/Grassland,Shrubland/Grassland,0,0,0,soil+litter,soil/litter,Formicidae,Formicidae,0,Hymenoptera,Pterygota,Insecta,Hexapoda,Arthropoda,24.0,0.0,mg/m^2 (dry weight),Kaspari and Weiser (2012),https://doi.org/10.1111/j.1600-0587.2011.06971.x,figure 3,0,0,Deserts and Xeric Shrublands,Formicidae,
1716,1729,Shrubland/Grassland 5,0,0,0,Shrubland/Grassland,Shrubland/Grassland,Shrubland/Grassland,0,0,0,soil+litter,soil/litter,Formicidae,Formicidae,0,Hymenoptera,Pterygota,Insecta,Hexapoda,Arthropoda,11.0,0.0,mg/m^2 (dry weight),Kaspari and Weiser (2012),https://doi.org/10.1111/j.1600-0587.2011.06971.x,figure 3,0,0,Temperate Conifer Forests,Formicidae,
1717,1730,Shrubland/Grassland 6,0,0,0,Shrubland/Grassland,Shrubland/Grassland,Shrubland/Grassland,0,0,0,soil+litter,soil/litter,Formicidae,Formicidae,0,Hymenoptera,Pterygota,Insecta,Hexapoda,Arthropoda,6.0,0.0,mg/m^2 (dry weight),Kaspari and Weiser (2012),https://doi.org/10.1111/j.1600-0587.2011.06971.x,figure 3,0,0,"Temperate Grasslands, Savannas and Shrublands",Formicidae,
1719,1732,Shrubland/Grassland 7,0,0,0,Shrubland/Grassland,Shrubland/Grassland,Shrubland/Grassland,0,0,0,soil+litter,soil/litter,Formicidae,Formicidae,0,Hymenoptera,Pterygota,Insecta,Hexapoda,Arthropoda,2.0,0.0,mg/m^2 (dry weight),Kaspari and Weiser (2012),https://doi.org/10.1111/j.1600-0587.2011.06971.x,figure 3,0,0,Deserts and Xeric Shrublands,Formicidae,
1720,1733,Shrubland/Grassland 8,0,0,0,Shrubland/Grassland,Shrubland/Grassland,Shrubland/Grassland,0,0,0,soil+litter,soil/litter,Formicidae,Formicidae,0,Hymenoptera,Pterygota,Insecta,Hexapoda,Arthropoda,179.0,0.0,mg/m^2 (dry weight),Kaspari and Weiser (2012),https://doi.org/10.1111/j.1600-0587.2011.06971.x,figure 3,0,0,Temperate Conifer Forests,Formicidae,
1723,1736,Shrubland/Grassland 9,0,0,0,Shrubland/Grassland,Shrubland/Grassland,Shrubland/Grassland,0,0,0,soil+litter,soil/litter,Formicidae,Formicidae,0,Hymenoptera,Pterygota,Insecta,Hexapoda,Arthropoda,528.0,0.0,mg/m^2 (dry weight),Kaspari and Weiser (2012),https://doi.org/10.1111/j.1600-0587.2011.06971.x,figure 3,0,0,Temperate Broadleaf and Mixed Forests,Formicidae,
1724,1737,"Dykes Gap, Coweeta LTER, Georgia",,0,"Georgia, USA",Temperate mixed forest,Temperate Forests,Temperate Forests,0,0,0,soil+litter,soil/litter,Formicidae,Formicidae,0,Hymenoptera,Pterygota,Insecta,Hexapoda,Arthropoda,100.0,0.0,mg/m^2 (dry weight),Kaspari and Weiser (2012),https://doi.org/10.1111/j.1600-0587.2011.06971.x,figure 3,0,0,Temperate Broadleaf and Mixed Forests,Formicidae,
