,0,0
env,above_ground,soil
aggregated biome,,
Boreal Forests/Taiga,2 (2-3),20 (8-30)
Crops,2 (1-3),40 (20-60)
Deserts and Xeric Shrublands,8 (0.4-20),3 (0.2-7)
"Mediterranean Forests, Woodlands and Scrub",0.4 (0.4-0.4),1 (0.2-2)
Pasture,4 (0.7-10),40 (20-70)
Temperate Forests,1 (0.5-2),30 (10-70)
"Temperate Grasslands, Savannas and Shrublands",0.9 (0.5-1),10 (3-30)
Tropical and Subtropical Forests,30 (9-60),50 (30-90)
"Tropical and Subtropical Grasslands, Savannas and Shrublands",8 (7-10),20 (10-30)
Tundra,,5 (3-8)
World Total,50 (20-100),200 (100-400)
